,X,Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,ratio,ng_uL,ng
425,424,424,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_72.mzXML,6.935,7.015,5684615,5664491.715,RNAi,13,72,0.106145196,0.530725981,37.15081864
481,480,480,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_72.mzXML,7.71,7.815,4610462,4598188.903,RNAi,13,72,0.086088221,0.430441106,30.13087739
537,536,536,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_72.mzXML,7.84,7.93,589116,582607.76,RNAi,13,72,0.011000188,0.05500094,3.850065778
593,592,592,C18,./230312MZXML/RNAi 13_3122023_72.mzXML,8.575,8.655,53555085,53445340.93,RNAi,13,72,1,5,350
34,33,33,pBQ,./230312MZXML/RNAi 13_3122023_76.mzXML,4.051666667,4.091608187,566935,559379.9175,RNAi,13,76,0.164918725,0.824593627,57.72155386
90,89,89,meBQ,./230312MZXML/RNAi 13_3122023_76.mzXML,4.690730994,4.755635965,310039,304745.17,RNAi,13,76,0.090188887,0.450944435,31.56611047
146,145,145,C11:1,./230312MZXML/RNAi 13_3122023_76.mzXML,5.125095029,5.16503655,500506,491274.785,RNAi,13,76,0.0087022,0.043511002,3.045770174
202,201,201,C11,./230312MZXML/RNAi 13_3122023_76.mzXML,5.17002924,5.264890351,27886301,27773212.58,RNAi,13,76,0.484853693,2.424268465,169.6987925
258,257,257,dimeBQ,./230312MZXML/RNAi 13_3122023_76.mzXML,5.299839181,5.374729532,3437663,3420037,RNAi,13,76,1,5,350
314,313,313,memeOBQ,./230312MZXML/RNAi 13_3122023_76.mzXML,5.709239766,5.799108187,2231102,2222514.153,RNAi,13,76,0.649017079,3.245085397,227.1559778
370,369,369,ethyl decanoate,./230312MZXML/RNAi 13_3122023_76.mzXML,6.782668129,6.86255117,4358163,4340749.463,RNAi,13,76,0.075774533,0.378872663,26.52108642
426,425,425,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_76.mzXML,6.93744152,7.017324561,157297,150254.65,RNAi,13,76,0.002734892,0.013674462,0.957212323
482,481,481,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_76.mzXML,7.71130848,7.816154971,1145735,1137453.35,RNAi,13,76,0.019920672,0.099603358,6.97223508
538,537,537,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_76.mzXML,7.841118421,7.930986842,149134,143105.12,RNAi,13,76,0.002592964,0.012964819,0.907537351
594,593,593,C18,./230312MZXML/RNAi 13_3122023_76.mzXML,8.57504386,8.654926901,57514878,57407525.02,RNAi,13,76,1,5,350
35,34,34,pBQ,./230312MZXML/GFP_3122023_18.mzXML,4.045,4.085,472579,465664.505,GFP,GFP,18,0.143713895,0.718569475,50.29986327
91,90,90,meBQ,./230312MZXML/GFP_3122023_18.mzXML,4.685,4.75,535639,529791.7,GFP,GFP,18,0.162890791,0.814453954,57.01177679
147,146,146,C11:1,./230312MZXML/GFP_3122023_18.mzXML,5.12,5.16,101614,98315.915,GFP,GFP,18,0.002445085,0.012225427,0.855779882
203,202,202,C11,./230312MZXML/GFP_3122023_18.mzXML,5.165,5.26,12434222,12419311.34,GFP,GFP,18,0.299198284,1.495991419,104.7193993
259,258,258,dimeBQ,./230312MZXML/GFP_3122023_18.mzXML,5.295,5.37,3288332,3271469.805,GFP,GFP,18,1,5,350
315,314,314,memeOBQ,./230312MZXML/GFP_3122023_18.mzXML,5.705,5.795,2177555,2170593.288,GFP,GFP,18,0.662206553,3.311032767,231.7722937
371,370,370,ethyl decanoate,./230312MZXML/GFP_3122023_18.mzXML,6.78,6.86,2036150,2027029.07,GFP,GFP,18,0.048994829,0.244974147,17.14819028
427,426,426,isopropyl decanoate,./230312MZXML/GFP_3122023_18.mzXML,6.935,7.015,27749,23036.6,GFP,GFP,18,0.00066771,0.00333855,0.233698466
483,482,482,ethyl dodecanoate,./230312MZXML/GFP_3122023_18.mzXML,7.71,7.815,798677,793289.8825,GFP,GFP,18,0.019218154,0.096090768,6.726353742
539,538,538,isopropyl dodecanoate,./230312MZXML/GFP_3122023_18.mzXML,7.84,7.93,151249,146917.88,GFP,GFP,18,0.003639427,0.018197134,1.273799392
595,594,594,C18,./230312MZXML/GFP_3122023_18.mzXML,8.575,8.655,41558467,41485500.93,GFP,GFP,18,1,5,350
36,35,35,pBQ,./230312MZXML/RNAi 13_3122023_52.mzXML,4.051666667,4.091608187,563115,555814.7,RNAi,13,52,0.154639133,0.773195664,54.12369648
92,91,91,meBQ,./230312MZXML/RNAi 13_3122023_52.mzXML,4.690730994,4.755635965,287965,283044.37,RNAi,13,52,0.079079154,0.395395771,27.67770394
148,147,147,C11:1,./230312MZXML/RNAi 13_3122023_52.mzXML,5.125095029,5.16503655,5146781,5066618.085,RNAi,13,52,0.107866088,0.539330441,37.7531309
204,203,203,C11,./230312MZXML/RNAi 13_3122023_52.mzXML,5.17002924,5.264890351,307935449,306731861.9,RNAi,13,52,6.453702291,32.26851145,2258.795802
260,259,259,dimeBQ,./230312MZXML/RNAi 13_3122023_52.mzXML,5.299839181,5.374729532,3641478,3622176.725,RNAi,13,52,1,5,350
316,315,315,memeOBQ,./230312MZXML/RNAi 13_3122023_52.mzXML,5.709239766,5.799108187,2253204,2244713.775,RNAi,13,52,0.618760844,3.093804219,216.5662953
372,371,371,ethyl decanoate,./230312MZXML/RNAi 13_3122023_52.mzXML,6.782668129,6.86255117,53033413,52906478.73,RNAi,13,52,1.111472746,5.557363728,389.0154609
428,427,427,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_52.mzXML,6.93744152,7.017324561,26368332,26306012.36,RNAi,13,52,0.552626744,2.763133721,193.4193605
484,483,483,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_52.mzXML,7.71130848,7.816154971,6472008,6457787.1,RNAi,13,52,0.135640158,0.678200788,47.47405518
540,539,539,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_52.mzXML,7.841118421,7.930986842,1795850,1788085.548,RNAi,13,52,0.037637373,0.188186863,13.17308044
596,595,595,C18,./230312MZXML/RNAi 13_3122023_52.mzXML,8.57504386,8.654926901,47714542,47631709.64,RNAi,13,52,1,5,350
37,36,36,pBQ,./230312MZXML/GFP_3122023_44.mzXML,4.051666667,4.091608187,444280,437282.0475,GFP,GFP,44,0.150496971,0.752484853,52.67393972
93,92,92,meBQ,./230312MZXML/GFP_3122023_44.mzXML,4.690730994,4.755635965,347978,342837.74,GFP,GFP,44,0.117875292,0.589376461,41.25635229
149,148,148,C11:1,./230312MZXML/GFP_3122023_44.mzXML,5.125095029,5.16503655,174418,170924.4925,GFP,GFP,44,0.002697432,0.013487161,0.9441013
205,204,204,C11,./230312MZXML/GFP_3122023_44.mzXML,5.17002924,5.264890351,1587009,1573020.678,GFP,GFP,44,0.024543621,0.122718106,8.590267401
261,260,260,dimeBQ,./230312MZXML/GFP_3122023_44.mzXML,5.299839181,5.374729532,2952086,2934659.85,GFP,GFP,44,1,5,350
317,316,316,memeOBQ,./230312MZXML/GFP_3122023_44.mzXML,5.709239766,5.799108187,1961488,1954287.523,GFP,GFP,44,0.664441348,3.322206738,232.5544717
373,372,372,ethyl decanoate,./230312MZXML/GFP_3122023_44.mzXML,6.782668129,6.86255117,1284999,1277177.025,GFP,GFP,44,0.019872936,0.099364681,6.955527675
429,428,428,isopropyl decanoate,./230312MZXML/GFP_3122023_44.mzXML,6.93744152,7.017324561,60413,54955.175,GFP,GFP,44,0.000934307,0.004671536,0.327007487
485,484,484,ethyl dodecanoate,./230312MZXML/GFP_3122023_44.mzXML,7.71130848,7.816154971,922587,916220.4,GFP,GFP,44,0.014268114,0.071340571,4.993840004
541,540,540,isopropyl dodecanoate,./230312MZXML/GFP_3122023_44.mzXML,7.841118421,7.930986842,118439,113333.4325,GFP,GFP,44,0.001831698,0.009158492,0.641094462
597,596,596,C18,./230312MZXML/GFP_3122023_44.mzXML,8.57504386,8.654926901,64660752,64552943.29,GFP,GFP,44,1,5,350
38,37,37,pBQ,./230312MZXML/RNAi 13_3122023_50.mzXML,4.051666667,4.091608187,464643,457684.23,RNAi,13,50,0.149832639,0.749163195,52.44142363
94,93,93,meBQ,./230312MZXML/RNAi 13_3122023_50.mzXML,4.690730994,4.755635965,275152,270362.89,RNAi,13,50,0.088727798,0.44363899,31.05472932
150,149,149,C11:1,./230312MZXML/RNAi 13_3122023_50.mzXML,5.125095029,5.16503655,977516,961850.56,RNAi,13,50,0.022431993,0.112159963,7.851197386
206,205,205,C11,./230312MZXML/RNAi 13_3122023_50.mzXML,5.17002924,5.264890351,58301195,58078352.33,RNAi,13,50,1.337893161,6.689465804,468.2626062
262,261,261,dimeBQ,./230312MZXML/RNAi 13_3122023_50.mzXML,5.299839181,5.374729532,3101080,3084207.62,RNAi,13,50,1,5,350
318,317,317,memeOBQ,./230312MZXML/RNAi 13_3122023_50.mzXML,5.709239766,5.799108187,1932076,1924379.973,RNAi,13,50,0.623033266,3.115166329,218.061643
374,373,373,ethyl decanoate,./230312MZXML/RNAi 13_3122023_50.mzXML,6.782668129,6.86255117,10343254,10313857.53,RNAi,13,50,0.23735652,1.186782602,83.07478217
430,429,429,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_50.mzXML,6.93744152,7.017324561,284177,276849.9875,RNAi,13,50,0.006521281,0.032606404,2.282448287
486,485,485,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_50.mzXML,7.71130848,7.816154971,1098660,1091262.2,RNAi,13,50,0.025212,0.126059998,8.82419983
542,541,541,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_50.mzXML,7.841118421,7.930986842,143606,137707.17,RNAi,13,50,0.003295464,0.01647732,1.153412376
598,597,597,C18,./230312MZXML/RNAi 13_3122023_50.mzXML,8.57504386,8.654926901,43576869,43501855.95,RNAi,13,50,1,5,350
39,38,38,pBQ,./230312MZXML/RNAi 13_3122023_49.mzXML,4.051666667,4.091608187,516260,508773.8675,RNAi,13,49,0.148798595,0.743992977,52.07950836
95,94,94,meBQ,./230312MZXML/RNAi 13_3122023_49.mzXML,4.690730994,4.755635965,306583,301481.5,RNAi,13,49,0.088364622,0.44182311,30.92761769
151,150,150,C11:1,./230312MZXML/RNAi 13_3122023_49.mzXML,5.125095029,5.16503655,281202,276093.3825,RNAi,13,49,0.005684482,0.02842241,1.989568726
207,206,206,C11,./230312MZXML/RNAi 13_3122023_49.mzXML,5.17002924,5.264890351,8208249,8169917.4,RNAi,13,49,0.165929276,0.829646381,58.07524664
263,262,262,dimeBQ,./230312MZXML/RNAi 13_3122023_49.mzXML,5.299839181,5.374729532,3469522,3449811.505,RNAi,13,49,1,5,350
319,318,318,memeOBQ,./230312MZXML/RNAi 13_3122023_49.mzXML,5.709239766,5.799108187,2045664,2037605.915,RNAi,13,49,0.58960975,2.948048751,206.3634126
375,374,374,ethyl decanoate,./230312MZXML/RNAi 13_3122023_49.mzXML,6.782668129,6.86255117,1858585,1848706.863,RNAi,13,49,0.037571188,0.187855938,13.14991569
431,430,430,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_49.mzXML,6.93744152,7.017324561,74626,68396.5,RNAi,13,49,0.00150856,0.007542801,0.527996087
487,486,486,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_49.mzXML,7.71130848,7.816154971,970971,964147.35,RNAi,13,49,0.019628122,0.098140611,6.869842802
543,542,542,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_49.mzXML,7.841118421,7.930986842,168935,163463.295,RNAi,13,49,0.003415011,0.017075056,1.19525392
599,598,598,C18,./230312MZXML/RNAi 13_3122023_49.mzXML,8.57504386,8.654926901,49468359,49383937.78,RNAi,13,49,1,5,350
40,39,39,pBQ,./230312MZXML/RNAi 13_3122023_89.mzXML,4.05,4.09,503690,495673.425,RNAi,13,89,0.12796885,0.639844249,44.78909746
96,95,95,meBQ,./230312MZXML/RNAi 13_3122023_89.mzXML,4.69,4.755,388547,381918.38,RNAi,13,89,0.098715306,0.493576532,34.55035726
152,151,151,C11:1,./230312MZXML/RNAi 13_3122023_89.mzXML,5.125,5.165,189626,185074.2675,RNAi,13,89,0.001944931,0.009724653,0.680725698
208,207,207,C11,./230312MZXML/RNAi 13_3122023_89.mzXML,5.17,5.265,4074631,4056291.745,RNAi,13,89,0.04179213,0.208960648,14.62724537
264,263,263,dimeBQ,./230312MZXML/RNAi 13_3122023_89.mzXML,5.3,5.375,3936036,3916352.49,RNAi,13,89,1,5,350
320,319,319,memeOBQ,./230312MZXML/RNAi 13_3122023_89.mzXML,5.71,5.8,2177779,2167566.16,RNAi,13,89,0.55329245,2.766462248,193.6523573
376,375,375,ethyl decanoate,./230312MZXML/RNAi 13_3122023_89.mzXML,6.785,6.865,2797373,2783824.025,RNAi,13,89,0.028691721,0.143458604,10.04210228
432,431,431,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_89.mzXML,6.94,7.02,115505,107654.4125,RNAi,13,89,0.001184696,0.005923481,0.414643676
488,487,487,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_89.mzXML,7.715,7.82,1389585,1378911.75,RNAi,13,89,0.014252509,0.071262547,4.988378274
544,543,543,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_89.mzXML,7.845,7.935,225891,218211.76,RNAi,13,89,0.002316889,0.011584443,0.810910996
600,599,599,C18,./230312MZXML/RNAi 13_3122023_89.mzXML,8.58,8.66,97497568,97299562.19,RNAi,13,89,1,5,350
41,40,40,pBQ,./230312MZXML/RNAi 13_3122023_74.mzXML,4.051666667,4.091608187,465351,457530.3375,RNAi,13,74,0.127336678,0.636683392,44.56783745
97,96,96,meBQ,./230312MZXML/RNAi 13_3122023_74.mzXML,4.690730994,4.755635965,377630,372390.77,RNAi,13,74,0.103333075,0.516665376,36.16657632
153,152,152,C11:1,./230312MZXML/RNAi 13_3122023_74.mzXML,5.125095029,5.16503655,7403435,7289263.005,RNAi,13,74,0.127086319,0.635431596,44.4802117
209,208,208,C11,./230312MZXML/RNAi 13_3122023_74.mzXML,5.17002924,5.264890351,291594599,290247872.9,RNAi,13,74,5.005471686,25.02735843,1751.91509
265,264,264,dimeBQ,./230312MZXML/RNAi 13_3122023_74.mzXML,5.299839181,5.374729532,3654493,3633754.205,RNAi,13,74,1,5,350
321,320,320,memeOBQ,./230312MZXML/RNAi 13_3122023_74.mzXML,5.709239766,5.799108187,2344755,2335306.485,RNAi,13,74,0.641608836,3.20804418,224.5630926
377,376,376,ethyl decanoate,./230312MZXML/RNAi 13_3122023_74.mzXML,6.782668129,6.86255117,76687064,76503736.89,RNAi,13,74,1.316399305,6.581996526,460.7397568
433,432,432,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_74.mzXML,6.93744152,7.017324561,1982921,1963752.088,RNAi,13,74,0.034038542,0.170192709,11.9134896
489,488,488,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_74.mzXML,7.71130848,7.816154971,5810800,5796560.65,RNAi,13,74,0.099747372,0.498736859,34.91158012
545,544,544,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_74.mzXML,7.841118421,7.930986842,332300,325923.0875,RNAi,13,74,0.005704215,0.028521074,1.996475197
601,600,600,C18,./230312MZXML/RNAi 13_3122023_74.mzXML,8.57504386,8.654926901,58255169,58155480.29,RNAi,13,74,1,5,350
42,41,41,pBQ,./230312MZXML/GFP_3122023_41.mzXML,4.051666667,4.091608187,1036537,1022497.03,GFP,GFP,41,0.445653113,2.228265566,155.9785896
98,97,97,meBQ,./230312MZXML/GFP_3122023_41.mzXML,4.690730994,4.755635965,17963014,17781140.77,GFP,GFP,41,7.723094412,38.61547206,2703.083044
154,153,153,C11:1,./230312MZXML/GFP_3122023_41.mzXML,5.125095029,5.16503655,10430628,10274355.24,GFP,GFP,41,0.291639006,1.458195031,102.0736522
210,209,209,C11,./230312MZXML/GFP_3122023_41.mzXML,5.17002924,5.264890351,314541322,313000366.9,GFP,GFP,41,8.794534572,43.97267286,3078.0871
266,265,265,dimeBQ,./230312MZXML/GFP_3122023_41.mzXML,5.299839181,5.374729532,2325883,2312601.76,GFP,GFP,41,1,5,350
322,321,321,memeOBQ,./230312MZXML/GFP_3122023_41.mzXML,5.709239766,5.799108187,10882125,10839678.55,GFP,GFP,41,4.678706968,23.39353484,1637.547439
378,377,377,ethyl decanoate,./230312MZXML/GFP_3122023_41.mzXML,6.782668129,6.86255117,69451518,69272175.3,GFP,GFP,41,1.941855437,9.709277183,679.6494028
434,433,433,isopropyl decanoate,./230312MZXML/GFP_3122023_41.mzXML,6.93744152,7.017324561,2239530,2222199.488,GFP,GFP,41,0.062616968,0.313084842,21.91593893
490,489,489,ethyl dodecanoate,./230312MZXML/GFP_3122023_41.mzXML,7.71130848,7.816154971,4229237,4218529.4,GFP,GFP,41,0.118248918,0.59124459,41.38712132
546,545,545,isopropyl dodecanoate,./230312MZXML/GFP_3122023_41.mzXML,7.841118421,7.930986842,188069,184035.6225,GFP,GFP,41,0.005258385,0.026291924,1.840434698
602,601,601,C18,./230312MZXML/GFP_3122023_41.mzXML,8.57504386,8.654926901,35765545,35700986.24,GFP,GFP,41,1,5,350
43,42,42,pBQ,./230312MZXML/GFP_3122023_04.mzXML,4.045,4.085,1736284,1722314.1,GFP,GFP,4,0.608547076,3.042735378,212.9914765
99,98,98,meBQ,./230312MZXML/GFP_3122023_04.mzXML,4.685,4.75,6842423,6832735.73,GFP,GFP,4,2.398188607,11.99094303,839.3660124
155,154,154,C11:1,./230312MZXML/GFP_3122023_04.mzXML,5.12,5.16,419829,415860.2975,GFP,GFP,4,0.012402156,0.062010781,4.340754685
211,210,210,C11,./230312MZXML/GFP_3122023_04.mzXML,5.165,5.26,102101633,102045167.5,GFP,GFP,4,3.016181362,15.08090681,1055.663477
267,266,266,dimeBQ,./230312MZXML/GFP_3122023_04.mzXML,5.295,5.37,2853163,2839078.23,GFP,GFP,4,1,5,350
323,322,322,memeOBQ,./230312MZXML/GFP_3122023_04.mzXML,5.705,5.795,4089497,4079212.808,GFP,GFP,4,1.433320494,7.166602469,501.6621728
379,378,378,ethyl decanoate,./230312MZXML/GFP_3122023_04.mzXML,6.78,6.86,16152432,16109102.91,GFP,GFP,4,0.477158523,2.385792613,167.0054829
435,434,434,isopropyl decanoate,./230312MZXML/GFP_3122023_04.mzXML,6.935,7.015,1670497,1659686.48,GFP,GFP,4,0.049348103,0.246740516,17.2718361
491,490,490,ethyl dodecanoate,./230312MZXML/GFP_3122023_04.mzXML,7.71,7.815,2276430,2269279.255,GFP,GFP,4,0.067247952,0.336239761,23.53678328
547,546,546,isopropyl dodecanoate,./230312MZXML/GFP_3122023_04.mzXML,7.84,7.93,292393,287788.56,GFP,GFP,4,0.008637573,0.043187865,3.023150579
603,602,602,C18,./230312MZXML/GFP_3122023_04.mzXML,8.575,8.655,33851291,33787913.25,GFP,GFP,4,1,5,350
44,43,43,pBQ,./230312MZXML/RNAi 13_3122023_73.mzXML,4.051666667,4.091608187,1090541,1076113.108,RNAi,13,73,0.281513772,1.407568861,98.52982024
100,99,99,meBQ,./230312MZXML/RNAi 13_3122023_73.mzXML,4.690730994,4.755635965,15317769,15168643.86,RNAi,13,73,3.954150217,19.77075108,1383.952576
156,155,155,C11:1,./230312MZXML/RNAi 13_3122023_73.mzXML,5.125095029,5.16503655,5651802,5565233.893,RNAi,13,73,0.09848011,0.492400552,34.46803866
212,211,211,C11,./230312MZXML/RNAi 13_3122023_73.mzXML,5.17002924,5.264890351,214809793,213830192.1,RNAi,13,73,3.742964128,18.71482064,1310.037445
268,267,267,dimeBQ,./230312MZXML/RNAi 13_3122023_73.mzXML,5.299839181,5.374729532,3873846,3852225.905,RNAi,13,73,1,5,350
324,323,323,memeOBQ,./230312MZXML/RNAi 13_3122023_73.mzXML,5.709239766,5.799108187,6860585,6835680.255,RNAi,13,73,1.771000964,8.855004819,619.8503374
380,379,379,ethyl decanoate,./230312MZXML/RNAi 13_3122023_73.mzXML,6.782668129,6.86255117,46142285,46017539.86,RNAi,13,73,0.804008584,4.020042921,281.4030044
436,435,435,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_73.mzXML,6.93744152,7.017324561,1534501,1519378.563,RNAi,13,73,0.02673799,0.133689952,9.358296662
492,491,491,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_73.mzXML,7.71130848,7.816154971,5295618,5281778.7,RNAi,13,73,0.092273764,0.461368821,32.2958175
548,547,547,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_73.mzXML,7.841118421,7.930986842,331262,324357.79,RNAi,13,73,0.005772092,0.028860458,2.020232029
604,603,603,C18,./230312MZXML/RNAi 13_3122023_73.mzXML,8.57504386,8.654926901,57390289,57287932.17,RNAi,13,73,1,5,350
45,44,44,pBQ,./230312MZXML/GFP_3122023_20.mzXML,4.045,4.085,954453,944513.8925,GFP,GFP,20,0.293588144,1.467940718,102.7558503
101,100,100,meBQ,./230312MZXML/GFP_3122023_20.mzXML,4.685,4.75,2291663,2284264.58,GFP,GFP,20,0.704911699,3.524558496,246.7190948
157,156,156,C11:1,./230312MZXML/GFP_3122023_20.mzXML,5.12,5.16,126422,122821.8475,GFP,GFP,20,0.002695509,0.013477544,0.943428088
213,212,212,C11,./230312MZXML/GFP_3122023_20.mzXML,5.165,5.26,15115648,15098590.03,GFP,GFP,20,0.322288546,1.611442729,112.8009911
269,268,268,dimeBQ,./230312MZXML/GFP_3122023_20.mzXML,5.295,5.37,3250993,3235305.755,GFP,GFP,20,1,5,350
325,324,324,memeOBQ,./230312MZXML/GFP_3122023_20.mzXML,5.705,5.795,2351407,2344235.763,GFP,GFP,20,0.723288854,3.616444268,253.1510988
381,380,380,ethyl decanoate,./230312MZXML/GFP_3122023_20.mzXML,6.78,6.86,2135307,2126130.385,GFP,GFP,20,0.045527985,0.227639923,15.93479458
437,436,436,isopropyl decanoate,./230312MZXML/GFP_3122023_20.mzXML,6.935,7.015,72676,67505.03,GFP,GFP,20,0.001549563,0.007747813,0.542346899
493,492,492,ethyl dodecanoate,./230312MZXML/GFP_3122023_20.mzXML,7.71,7.815,1024075,1017617.708,GFP,GFP,20,0.021834833,0.109174163,7.642191385
549,548,548,isopropyl dodecanoate,./230312MZXML/GFP_3122023_20.mzXML,7.84,7.93,191321,185756.88,GFP,GFP,20,0.004079254,0.02039627,1.427738884
605,604,604,C18,./230312MZXML/GFP_3122023_20.mzXML,8.575,8.655,46900978,46816187.88,GFP,GFP,20,1,5,350
46,45,45,pBQ,./230312MZXML/RNAi 13_3122023_71.mzXML,4.051666667,4.091608187,503698,496335.505,RNAi,13,71,0.147436564,0.737182818,51.60279724
102,101,101,meBQ,./230312MZXML/RNAi 13_3122023_71.mzXML,4.690730994,4.755635965,281091,276189.03,RNAi,13,71,0.082277657,0.411388283,28.79717981
158,157,157,C11:1,./230312MZXML/RNAi 13_3122023_71.mzXML,5.125095029,5.16503655,228288,224199.1075,RNAi,13,71,0.004625421,0.023127104,1.618897282
214,213,213,C11,./230312MZXML/RNAi 13_3122023_71.mzXML,5.17002924,5.264890351,4935158,4907390.923,RNAi,13,71,0.099992915,0.499964573,34.99752011
270,269,269,dimeBQ,./230312MZXML/RNAi 13_3122023_71.mzXML,5.299839181,5.374729532,3416371,3398885.42,RNAi,13,71,1,5,350
326,325,325,memeOBQ,./230312MZXML/RNAi 13_3122023_71.mzXML,5.709239766,5.799108187,2056007,2048433.075,RNAi,13,71,0.601810225,3.009051125,210.6335787
382,381,381,ethyl decanoate,./230312MZXML/RNAi 13_3122023_71.mzXML,6.782668129,6.86255117,1865396,1854627.463,RNAi,13,71,0.037795423,0.188977114,13.22839796
438,437,437,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_71.mzXML,6.93744152,7.017324561,69841,63768.625,RNAi,13,71,0.001415072,0.007075361,0.495275288
494,493,493,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_71.mzXML,7.71130848,7.816154971,997641,990295.65,RNAi,13,71,0.020213544,0.101067718,7.074740254
550,549,549,isopropyl dodecanoate,./230312MZXML/RNAi 13_3122023_71.mzXML,7.841118421,7.930986842,166497,160726.1375,RNAi,13,71,0.003373452,0.016867262,1.180708319
606,605,605,C18,./230312MZXML/RNAi 13_3122023_71.mzXML,8.57504386,8.654926901,49355077,49257490.39,RNAi,13,71,1,5,350
47,46,46,pBQ,./230312MZXML/GFP_3122023_22.mzXML,4.051666667,4.091608187,2090013,2062899.27,GFP,GFP,22,0.647361476,3.236807382,226.5765167
103,102,102,meBQ,./230312MZXML/GFP_3122023_22.mzXML,4.690730994,4.755635965,27460666,27233496.19,GFP,GFP,22,8.505677851,42.52838926,2976.987248
159,158,158,C11:1,./230312MZXML/GFP_3122023_22.mzXML,5.125095029,5.16503655,6212252,6110731.595,GFP,GFP,22,0.147834775,0.739173874,51.74217119
215,214,214,C11,./230312MZXML/GFP_3122023_22.mzXML,5.17002924,5.264890351,328635793,327191587.5,GFP,GFP,22,7.820641928,39.10320964,2737.224675
271,270,270,dimeBQ,./230312MZXML/GFP_3122023_22.mzXML,5.299839181,5.374729532,3228510,3210151.73,GFP,GFP,22,1,5,350
327,326,326,memeOBQ,./230312MZXML/GFP_3122023_22.mzXML,5.709239766,5.799108187,12692074,12644273.06,GFP,GFP,22,3.931248161,19.6562408,1375.936856
383,382,382,ethyl decanoate,./230312MZXML/GFP_3122023_22.mzXML,6.782668129,6.86255117,100623217,100367534.4,GFP,GFP,22,2.394560077,11.97280039,838.096027
439,438,438,isopropyl decanoate,./230312MZXML/GFP_3122023_22.mzXML,6.93744152,7.017324561,2805393,2782566.675,GFP,GFP,22,0.066760756,0.333803782,23.36626474
495,494,494,ethyl dodecanoate,./230312MZXML/GFP_3122023_22.mzXML,7.71130848,7.816154971,10035617,10016547.3,GFP,GFP,22,0.238820508,1.194102541,83.58717786
551,550,550,isopropyl dodecanoate,./230312MZXML/GFP_3122023_22.mzXML,7.841118421,7.930986842,474731,468374.275,GFP,GFP,22,0.011297312,0.056486561,3.95405928
607,606,606,C18,./230312MZXML/GFP_3122023_22.mzXML,8.57504386,8.654926901,42021588,41947045.74,GFP,GFP,22,1,5,350
48,47,47,pBQ,./230312MZXML/RNAi 13_3122023_68.mzXML,4.045,4.085,330831,324104.735,RNAi,13,68,0.094202773,0.471013863,32.97097044
104,103,103,meBQ,./230312MZXML/RNAi 13_3122023_68.mzXML,4.685,4.75,341303,336137.21,RNAi,13,68,0.097184632,0.485923159,34.01462113
160,159,159,C11:1,./230312MZXML/RNAi 13_3122023_68.mzXML,5.12,5.16,220256,216817.6,RNAi,13,68,0.004280412,0.021402061,1.498144256
216,215,215,C11,./230312MZXML/RNAi 13_3122023_68.mzXML,5.165,5.26,42411792,42377688.48,RNAi,13,68,0.824222497,4.121112484,288.4778738
272,271,271,dimeBQ,./230312MZXML/RNAi 13_3122023_68.mzXML,5.295,5.37,3511903,3496874.56,RNAi,13,68,1,5,350
328,327,327,memeOBQ,./230312MZXML/RNAi 13_3122023_68.mzXML,5.705,5.795,2284345,2277425.703,RNAi,13,68,0.650457886,3.252289428,227.66026
384,383,383,ethyl decanoate,./230312MZXML/RNAi 13_3122023_68.mzXML,6.78,6.86,4808976,4792517.635,RNAi,13,68,0.093456702,0.46728351,32.70984569
440,439,439,isopropyl decanoate,./230312MZXML/RNAi 13_3122023_68.mzXML,6.935,7.015,1213560,1205665.75,RNAi,13,68,0.023584088,0.117920442,8.254430951
496,495,495,ethyl dodecanoate,./230312MZXML/RNAi 13_3122023_68.mzXML,7.71,7.815,1507376,1500577.088,RNAi,13,68,0.029294051,0.146470256,10.25291795
