,X,Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,Total,ratio,ng_uL,ng
163,20,20,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,4.046208107,4.086154331,7905384,7885893.813,RNAi,2,29,RNAi 2,0.343896512,1.719482559,120.3637792
205,122,122,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,4.685347691,4.750260305,62547299,62530486.61,RNAi,2,29,RNAi 2,2.720904886,13.60452443,952.3167102
247,224,224,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,5.119762878,5.159709102,1296282,1284087.755,RNAi,2,29,RNAi 2,0.01725571,0.086278551,6.039498594
289,326,326,C11,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,5.16470238,5.259574662,499923833,499888554.9,RNAi,2,29,RNAi 2,6.654833453,33.27416727,2329.191709
331,428,428,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,5.294527608,5.369426778,22987683,22966248.62,RNAi,2,29,RNAi 2,1,5,350
373,530,530,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,5.703976404,5.793855408,22945407,22932100.04,RNAi,2,29,RNAi 2,0.998160928,4.990804641,349.3563249
415,632,632,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,6.777531175,6.857423623,43214453,43198084.59,RNAi,2,29,RNAi 2,0.575257606,2.876288031,201.3401622
457,734,734,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,6.932322793,7.012215241,2106863,2087040.088,RNAi,2,29,RNAi 2,0.028045917,0.140229585,9.816070983
499,836,836,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,7.706280884,7.811139722,53269258,53256173.65,RNAi,2,29,RNAi 2,0.709104101,3.545520505,248.1864353
541,938,938,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,7.836106112,7.925985116,1098310,1088249.995,RNAi,2,29,RNAi 2,0.014620367,0.073101837,5.117128604
583,1040,1040,C18,./20221031_DCor_RNAi/RNAi2_1112022_29.mzXML,8.570117979,8.650010427,75121915,75103647.14,RNAi,2,29,RNAi 2,1,5,350
164,23,23,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,4.046693431,4.086635036,4707502,4690996.648,RNAi,2,30,RNAi 2,0.205210563,1.026052816,71.82369711
206,125,125,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,4.685759124,4.750664234,44112215,44096375.33,RNAi,2,30,RNAi 2,1.922950321,9.614751606,673.0326124
248,227,227,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,5.120124088,5.160065693,293759,288255.39,RNAi,2,30,RNAi 2,0.003812432,0.019062159,1.334351136
290,329,329,C11,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,5.165058394,5.259919708,95739650,95722017.47,RNAi,2,30,RNAi 2,1.242518145,6.212590726,434.8813508
332,431,431,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,5.294868613,5.369759124,22939862,22918592.26,RNAi,2,30,RNAi 2,1,5,350
374,533,533,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,5.704270073,5.794138686,14821363,14809078.08,RNAi,2,30,RNAi 2,0.646096432,3.230482162,226.1337514
416,635,635,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,6.77770073,6.857583942,11521516,11508660.74,RNAi,2,30,RNAi 2,0.149527314,0.747636569,52.33455984
458,737,737,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,6.932474453,7.012357664,405450,394387.7625,RNAi,2,30,RNAi 2,0.005261968,0.02630984,1.841688827
500,839,839,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,7.706343066,7.811189781,22824369,22813114.75,RNAi,2,30,RNAi 2,0.296216799,1.481083994,103.6758796
542,941,941,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,7.836153285,7.926021898,613873,605163.1775,RNAi,2,30,RNAi 2,0.007966901,0.039834506,2.788415453
584,1043,1043,C18,./20221031_DCor_RNAi/RNAi2_1112022_30.mzXML,8.570080292,8.649963504,77052919,77012073.55,RNAi,2,30,RNAi 2,1,5,350
165,26,26,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,4.048389427,4.088357201,2252781,2240289.553,RNAi,2,13,RNAi 2,0.097924316,0.489621578,34.27351047
207,128,128,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,4.687873807,4.75282144,17299466,17286769.22,RNAi,2,13,RNAi 2,0.751976499,3.759882493,263.1917745
249,230,230,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,5.122523347,5.162491121,393752,387758.5825,RNAi,2,13,RNAi 2,0.004768778,0.023843892,1.66907242
291,332,332,C11,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,5.167487093,5.262410555,182325320,182307414.2,RNAi,2,13,RNAi 2,2.208164117,11.04082058,772.8574409
333,434,434,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,5.297382357,5.372321933,23005328,22986208.06,RNAi,2,13,RNAi 2,1,5,350
375,536,536,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,5.707052039,5.79697953,10604114,10593312.33,RNAi,2,13,RNAi 2,0.460941657,2.304708283,161.3295798
417,638,638,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,6.781185959,6.861121506,10597022,10587234.46,RNAi,2,13,RNAi 2,0.128341822,0.641709109,44.91963762
459,740,740,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,6.936061082,7.01599663,2810226,2799395.738,RNAi,2,13,RNAi 2,0.034034989,0.170174944,11.91224606
501,842,842,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,7.710436699,7.815352105,14378514,14368663.2,RNAi,2,13,RNAi 2,0.174139931,0.870699656,60.94897589
543,944,944,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,7.840331964,7.930259455,2330794,2322237.773,RNAi,2,13,RNAi 2,0.02822853,0.141142648,9.879985325
585,1046,1046,C18,./20221031_DCor_RNAi/RNAi2_1112022_13.mzXML,8.574739807,8.654675355,82568736,82528986.53,RNAi,2,13,RNAi 2,1,5,350
166,30,30,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,4.046693431,4.086635036,303157,291256.1775,RNAi,2,37,RNAi 2,0.013919899,0.069599495,4.87196468
208,132,132,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,4.685759124,4.750664234,2198390,2188153.19,RNAi,2,37,RNAi 2,0.100942307,0.504711535,35.32980744
250,234,234,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,5.120124088,5.160065693,54553,50417.8725,RNAi,2,37,RNAi 2,0.000729799,0.003648994,0.255429609
292,336,336,C11,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,5.165058394,5.259919708,18381237,18366676.29,RNAi,2,37,RNAi 2,0.245900431,1.229502157,86.06515099
334,438,438,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,5.294868613,5.369759124,21778678,21756044.41,RNAi,2,37,RNAi 2,1,5,350
376,540,540,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,5.704270073,5.794138686,4745313,4734559.31,RNAi,2,37,RNAi 2,0.217888019,1.089440094,76.26080656
418,642,642,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,6.77770073,6.857583942,2752029,2741782.088,RNAi,2,37,RNAi 2,0.036816081,0.184080407,12.8856285
460,744,744,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,6.932474453,7.012357664,1220726,1211717.413,RNAi,2,37,RNAi 2,0.016330623,0.081653115,5.715718018
502,846,846,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,7.706343066,7.811189781,2789073,2779864.6,RNAi,2,37,RNAi 2,0.037311648,0.186558242,13.05907697
544,948,948,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,7.836153285,7.926021898,2286064,2276947.41,RNAi,2,37,RNAi 2,0.030582497,0.152912485,10.70387392
586,1050,1050,C18,./20221031_DCor_RNAi/RNAi2_1112022_37.mzXML,8.570080292,8.649963504,74750731,74716074.81,RNAi,2,37,RNAi 2,1,5,350
167,32,32,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,4.046693431,4.086635036,206741,194196.3525,RNAi,2,35,RNAi 2,0.008719141,0.043595707,3.051699484
209,134,134,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,4.685759124,4.750664234,1715485,1704724.72,RNAi,2,35,RNAi 2,0.07234925,0.361746249,25.32223744
251,236,236,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,5.120124088,5.160065693,65369,60845.0575,RNAi,2,35,RNAi 2,0.000769755,0.003848777,0.269414363
293,338,338,C11,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,5.165058394,5.259919708,15140441,15123839.57,RNAi,2,35,RNAi 2,0.17828688,0.891434401,62.40040807
335,440,440,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,5.294868613,5.369759124,23711165,23686894.5,RNAi,2,35,RNAi 2,1,5,350
377,542,542,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,5.704270073,5.794138686,3367413,3356717.663,RNAi,2,35,RNAi 2,0.142018032,0.710090162,49.70631135
419,644,644,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,6.77770073,6.857583942,2469838,2459266.638,RNAi,2,35,RNAi 2,0.029083678,0.14541839,10.17928732
461,746,746,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,6.932474453,7.012357664,73738,65700.625,RNAi,2,35,RNAi 2,0.000868305,0.004341524,0.303906689
503,848,848,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,7.706343066,7.811189781,1586700,1577141.3,RNAi,2,35,RNAi 2,0.018684251,0.093421253,6.539487686
545,950,950,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,7.836153285,7.926021898,252404,245095.445,RNAi,2,35,RNAi 2,0.002972194,0.014860968,1.040267757
587,1052,1052,C18,./20221031_DCor_RNAi/RNAi2_1112022_35.mzXML,8.570080292,8.649963504,84921790,84858833.82,RNAi,2,35,RNAi 2,1,5,350
168,34,34,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,4.051208107,4.091154331,1802624,1789626.925,RNAi,2,8,RNAi 2,0.079591355,0.397956773,27.85697413
210,136,136,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,4.690347691,4.755260305,4984962,4974832.8,RNAi,2,8,RNAi 2,0.220101296,1.10050648,77.03545358
252,238,238,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,5.124762878,5.164709102,24334,20865.01,RNAi,2,8,RNAi 2,0.000297565,0.001487824,0.10414765
294,340,340,C11,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,5.16970238,5.264574662,3578777,3567227.165,RNAi,2,8,RNAi 2,0.043762545,0.218812723,15.31689059
336,442,442,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,5.299527608,5.374426778,22648490,22627399.74,RNAi,2,8,RNAi 2,1,5,350
378,544,544,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,5.708976404,5.798855408,2769202,2760595.835,RNAi,2,8,RNAi 2,0.122268725,0.611343626,42.79405382
420,646,646,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,6.782531175,6.862423623,2266809,2258586.9,RNAi,2,8,RNAi 2,0.027719338,0.138596691,9.701768351
462,748,748,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,6.937322793,7.017215241,90290,82957.9625,RNAi,2,8,RNAi 2,0.001104098,0.005520489,0.386434263
504,850,850,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,7.711280884,7.816139722,1407455,1399906.7,RNAi,2,8,RNAi 2,0.017210855,0.086054275,6.023799259
546,952,952,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,7.841106112,7.930985116,208299,201992.5525,RNAi,2,8,RNAi 2,0.002547153,0.012735767,0.891503715
588,1054,1054,C18,./20221031_DCor_RNAi/RNAi2_1112022_08.mzXML,8.575117979,8.655010427,81777169,81761394.55,RNAi,2,8,RNAi 2,1,5,350
169,37,37,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,4.051208107,4.091154331,6426132,6403788.7,RNAi,2,11,RNAi 2,0.300284269,1.501421344,105.0994941
211,139,139,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,4.690347691,4.755260305,44549184,44534748.15,RNAi,2,11,RNAi 2,2.081721811,10.40860906,728.6026339
253,241,241,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,5.124762878,5.164709102,420118,414285.0925,RNAi,2,11,RNAi 2,0.005806776,0.02903388,2.032371618
295,343,343,C11,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,5.16970238,5.264574662,185455308,185437870.5,RNAi,2,11,RNAi 2,2.563321355,12.81660677,897.1624741
337,445,445,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,5.299527608,5.374426778,21400162,21381425.21,RNAi,2,11,RNAi 2,1,5,350
379,547,547,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,5.708976404,5.798855408,18675270,18663108.07,RNAi,2,11,RNAi 2,0.872669562,4.36334781,305.4343467
421,649,649,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,6.782531175,6.862423623,7455353,7446800.9,RNAi,2,11,RNAi 2,0.103046204,0.515231021,36.06617149
463,751,751,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,6.937322793,7.017215241,9402299,9390795.088,RNAi,2,11,RNAi 2,0.129956452,0.649782259,45.48475816
505,853,853,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,7.711280884,7.816139722,8506242,8496599.2,RNAi,2,11,RNAi 2,0.117571355,0.587856773,41.14997408
547,955,955,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,7.841106112,7.930985116,8679047,8668625.193,RNAi,2,11,RNAi 2,0.119959826,0.599799131,41.98593916
589,1057,1057,C18,./20221031_DCor_RNAi/RNAi2_1112022_11.mzXML,8.575117979,8.655010427,72349613,72334054.93,RNAi,2,11,RNAi 2,1,5,350
170,38,38,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,4.046693431,4.086635036,5076687,5060501.128,RNAi,2,28,RNAi 2,0.215530689,1.077653443,75.43574102
212,140,140,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,4.685759124,4.750664234,21963062,21949841.87,RNAi,2,28,RNAi 2,0.932441546,4.662207732,326.3545413
254,242,242,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,5.120124088,5.160065693,896367,888267.8775,RNAi,2,28,RNAi 2,0.011154727,0.055773637,3.904154591
296,344,344,C11,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,5.165058394,5.259919708,294266652,294242252.4,RNAi,2,28,RNAi 2,3.661964671,18.30982336,1281.687635
338,446,446,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,5.294868613,5.369759124,23554358,23532868,RNAi,2,28,RNAi 2,1,5,350
380,548,548,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,5.704270073,5.794138686,14329098,14316559.52,RNAi,2,28,RNAi 2,0.608341692,3.04170846,212.9195922
422,650,650,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,6.77770073,6.857583942,17963639,17949462.99,RNAi,2,28,RNAi 2,0.223546266,1.117731332,78.24119325
464,752,752,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,6.932474453,7.012357664,5025529,5009407.938,RNAi,2,28,RNAi 2,0.062539569,0.312697846,21.88884923
506,854,854,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,7.706343066,7.811189781,11729170,11718158.85,RNAi,2,28,RNAi 2,0.145962194,0.72981097,51.08676792
548,956,956,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,7.836153285,7.926021898,2502637,2491952.585,RNAi,2,28,RNAi 2,0.031143754,0.155718771,10.90031397
590,1058,1058,C18,./20221031_DCor_RNAi/RNAi2_1112022_28.mzXML,8.570080292,8.649963504,80357589,80315529.4,RNAi,2,28,RNAi 2,1,5,350
171,40,40,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,4.048389427,4.088357201,239118,227415.2775,RNAi,2,15,RNAi 2,0.011065401,0.055327007,3.872890461
213,142,142,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,4.687873807,4.75282144,1807766,1797873.86,RNAi,2,15,RNAi 2,0.083656004,0.418280018,29.27960127
255,244,244,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,5.122523347,5.162491121,33816,29759.7975,RNAi,2,15,RNAi 2,0.000428733,0.002143663,0.150056425
297,346,346,C11,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,5.167487093,5.262410555,18083304,18069847.02,RNAi,2,15,RNAi 2,0.229267291,1.146336457,80.24355199
339,448,448,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,5.297382357,5.372321933,21609519,21588634.4,RNAi,2,15,RNAi 2,1,5,350
381,550,550,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,5.707052039,5.79697953,3431684,3421903.135,RNAi,2,15,RNAi 2,0.158804275,0.794021375,55.58149628
423,652,652,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,6.781185959,6.861121506,2965856,2957093.713,RNAi,2,15,RNAi 2,0.037602297,0.188011486,13.16080403
465,754,754,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,6.936061082,7.01599663,251415,243839.2875,RNAi,2,15,RNAi 2,0.003187539,0.015937695,1.115638637
507,856,856,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,7.710436699,7.815352105,2384883,2375831.3,RNAi,2,15,RNAi 2,0.030236491,0.151182457,10.58277199
549,958,958,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,7.840331964,7.930259455,357036,349831.4425,RNAi,2,15,RNAi 2,0.004526644,0.022633219,1.584325344
591,1060,1060,C18,./20221031_DCor_RNAi/RNAi2_1112022_15.mzXML,8.574739807,8.654675355,78874330,78848506.56,RNAi,2,15,RNAi 2,1,5,350
172,41,41,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,4.046208107,4.086154331,970379,958716.02,RNAi,2,31,RNAi 2,0.047063767,0.235318833,16.4723183
214,143,143,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,4.685347691,4.750260305,7944270,7933275.93,RNAi,2,31,RNAi 2,0.385300248,1.926501238,134.8550866
256,245,245,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,5.119762878,5.159709102,237602,232451.33,RNAi,2,31,RNAi 2,0.003346585,0.016732927,1.171304916
298,347,347,C11,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,5.16470238,5.259574662,112389505,112371586,RNAi,2,31,RNAi 2,1.582987875,7.914939373,554.0457561
340,449,449,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,5.294527608,5.369426778,20618388,20598464.71,RNAi,2,31,RNAi 2,1,5,350
382,551,551,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,5.703976404,5.793855408,5873351,5862499.815,RNAi,2,31,RNAi 2,0.284859854,1.424299271,99.70094898
424,653,653,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,6.777531175,6.857423623,13050060,13037956.88,RNAi,2,31,RNAi 2,0.18380797,0.919039849,64.33278943
466,755,755,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,6.932322793,7.012215241,9247470,9233029.05,RNAi,2,31,RNAi 2,0.130249109,0.651245545,45.58718813
508,857,857,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,7.706280884,7.811139722,2220326,2211711.9,RNAi,2,31,RNAi 2,0.03127293,0.156364651,10.94552554
550,959,959,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,7.836106112,7.925985116,866269,858733.495,RNAi,2,31,RNAi 2,0.012201258,0.061006289,4.270440226
592,1061,1061,C18,./20221031_DCor_RNAi/RNAi2_1112022_31.mzXML,8.570117979,8.650010427,70998336,70980242.89,RNAi,2,31,RNAi 2,1,5,350
173,47,47,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,4.046208107,4.086154331,7827369,7807277.128,RNAi,2,33,RNAi 2,0.32404526,1.620226302,113.4158411
215,149,149,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,4.685347691,4.750260305,46671332,46655295.98,RNAi,2,33,RNAi 2,1.93214654,9.660732699,676.251289
257,251,251,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,5.119762878,5.159709102,1150388,1139172.653,RNAi,2,33,RNAi 2,0.014454203,0.072271013,5.05897091
299,353,353,C11,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,5.16470238,5.259574662,448704597,448671070.7,RNAi,2,33,RNAi 2,5.637808419,28.1890421,1973.232947
341,455,455,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,5.294527608,5.369426778,24155172,24132706.17,RNAi,2,33,RNAi 2,1,5,350
383,557,557,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,5.703976404,5.793855408,20014907,20001525.07,RNAi,2,33,RNAi 2,0.828597163,4.142985817,290.0090072
425,659,659,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,6.777531175,6.857423623,28687456,28672872.4,RNAi,2,33,RNAi 2,0.360447346,1.802236728,126.156571
467,761,761,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,6.932322793,7.012215241,7787674,7767064.45,RNAi,2,33,RNAi 2,0.097849263,0.489246314,34.24724199
509,863,863,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,7.706280884,7.811139722,15615150,15603776.75,RNAi,2,33,RNAi 2,0.196198623,0.980993116,68.66951811
551,965,965,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,7.836106112,7.925985116,3393579,3381584.948,RNAi,2,33,RNAi 2,0.042639073,0.213195367,14.9236757
593,1067,1067,C18,./20221031_DCor_RNAi/RNAi2_1112022_33.mzXML,8.570117979,8.650010427,79588479,79569510.83,RNAi,2,33,RNAi 2,1,5,350
174,48,48,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,4.051693431,4.091635036,3646944,3629933.825,RNAi,2,17,RNAi 2,0.16176799,0.808839951,56.61879659
216,150,150,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,4.690759124,4.755664234,16619122,16606944.88,RNAi,2,17,RNAi 2,0.737176651,3.685883257,258.011828
258,252,252,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,5.125124088,5.165065693,468816,463031.34,RNAi,2,17,RNAi 2,0.00623992,0.031199601,2.183972042
300,354,354,C11,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,5.170058394,5.264919708,137419561,137402068.3,RNAi,2,17,RNAi 2,1.829048249,9.145241243,640.166887
342,456,456,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,5.299868613,5.374759124,22544287,22522164.52,RNAi,2,17,RNAi 2,1,5,350
384,558,558,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,5.709270073,5.799138686,6959786,6949306.095,RNAi,2,17,RNAi 2,0.308716173,1.543580864,108.0506605
426,660,660,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,6.78270073,6.862583942,9850917,9840846.525,RNAi,2,17,RNAi 2,0.131115267,0.655576337,45.89034359
468,762,762,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,6.937474453,7.017357664,521617,512251.225,RNAi,2,17,RNAi 2,0.006942699,0.034713495,2.429944679
510,864,864,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,7.711343066,7.816189781,5156290,5147368.55,RNAi,2,17,RNAi 2,0.068629991,0.343149954,24.02049675
552,966,966,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,7.841153285,7.931021898,329664,322770.5425,RNAi,2,17,RNAi 2,0.004387813,0.021939066,1.535734615
594,1068,1068,C18,./20221031_DCor_RNAi/RNAi2_1112022_17.mzXML,8.575080292,8.654963504,75131731,75100761.32,RNAi,2,17,RNAi 2,1,5,350
175,54,54,pBQ,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,4.047812905,4.087791463,11956064,11934092.1,RNAi,2,26,RNAi 2,0.51476692,2.573834601,180.1684221
217,156,156,meBQ,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,4.687469837,4.752434995,66365365,66347984.83,RNAi,2,26,RNAi 2,2.857352934,14.28676467,1000.073527
259,258,258,C11:1,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,5.122236659,5.162215217,1316451,1305822.9,RNAi,2,26,RNAi 2,0.016889557,0.084447787,5.911345113
301,360,360,C11,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,5.167212537,5.262161613,416234841,416206956.1,RNAi,2,26,RNAi 2,5.340132118,26.70066059,1869.046241
343,462,462,dimeBQ,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,5.297142851,5.372102648,23226170,23204397.52,RNAi,2,26,RNAi 2,1,5,350
385,564,564,memeOBQ,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,5.706923074,5.79687483,23938930,23925099.23,RNAi,2,26,RNAi 2,1.030687797,5.153438987,360.7407291
427,666,666,ethyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,6.781346828,6.861303944,31094828,31081956.91,RNAi,2,26,RNAi 2,0.398934624,1.994673119,139.6271183
469,768,768,isopropyl decanoate,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,6.936263741,7.016220858,1733658,1715812.313,RNAi,2,26,RNAi 2,0.022242162,0.11121081,7.784756703
511,870,870,ethyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,7.710848308,7.815792024,35589302,35577013.9,RNAi,2,26,RNAi 2,0.456596988,2.282984939,159.8089458
553,972,972,isopropyl dodecanoate,./20221031_DCor_RNAi/RNAi2_1112022_26.mzXML,7.840778623,7.930730379,1068859,1059419.24,RNAi,2,26,RNAi 2,0.013713048,0.068565239,4.799566734
