TrinityID	GeneID	GEP_id	Dcor_v3_gene_id	DEO
TRINITY_GG_1114_c1411_g1	Dcor_evm.model.ctg12_len_6330523.1034	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.778	Dcor_evm.model.hic_scaffold_10_pilon.778
TRINITY_GG_874_c73_g1	Dcor_evm.model.ctg12_len_6330523.1020	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.792	Dcor_evm.model.hic_scaffold_10_pilon.792
TRINITY_GG_1114_c345_g1	Dcor_evm.model.ctg12_len_6330523.1006	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.806	Dcor_evm.model.hic_scaffold_10_pilon.806
TRINITY_GG_1114_c303_g1	Dcor_evm.model.ctg12_len_6330523.1000	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.812	Dcor_evm.model.hic_scaffold_10_pilon.812
TRINITY_GG_874_c77_g1	Dcor_evm.model.ctg12_len_6330523.984	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.828	Dcor_evm.model.hic_scaffold_10_pilon.828
TRINITY_GG_1114_c62_g1	Dcor_evm.model.ctg12_len_6330523.983	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.829	Dcor_evm.model.hic_scaffold_10_pilon.829
TRINITY_GG_1114_c404_g1	Dcor_evm.model.ctg12_len_6330523.975	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.836	NA
TRINITY_GG_874_c29_g1	Dcor_evm.model.ctg12_len_6330523.963	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.849	Dcor_evm.model.hic_scaffold_10_pilon.849
TRINITY_GG_1114_c206_g1	Dcor_evm.model.ctg12_len_6330523.947	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.864	Dcor_evm.model.hic_scaffold_10_pilon.864
TRINITY_GG_1114_c440_g1	Dcor_evm.model.ctg12_len_6330523.944	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.867	Dcor_evm.model.hic_scaffold_10_pilon.867
TRINITY_GG_1114_c2665_g1	Dcor_evm.model.ctg12_len_6330523.927	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.889	Dcor_evm.model.hic_scaffold_10_pilon.889
TRINITY_GG_1142_c127_g1	Dcor_evm.model.ctg19_len_2461079.97	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.91	Dcor_evm.model.hic_scaffold_10_pilon.91
TRINITY_GG_1142_c231_g1	Dcor_evm.model.ctg19_len_2461079.99	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.93	Dcor_evm.model.hic_scaffold_10_pilon.93
TRINITY_GG_1114_c99_g1	Dcor_evm.model.ctg12_len_6330523.887	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.931	Dcor_evm.model.hic_scaffold_10_pilon.931
TRINITY_GG_1114_c293_g1	Dcor_evm.model.ctg12_len_6330523.885	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.933	Dcor_evm.model.hic_scaffold_10_pilon.933
TRINITY_GG_1114_c70_g1	Dcor_evm.model.ctg12_len_6330523.884	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.934	Dcor_evm.model.hic_scaffold_10_pilon.934
TRINITY_GG_1114_c1364_g1	Dcor_evm.model.ctg12_len_6330523.882	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.936	Dcor_evm.model.hic_scaffold_10_pilon.936
TRINITY_GG_1114_c46_g1	Dcor_evm.model.ctg12_len_6330523.880	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.938	Dcor_evm.model.hic_scaffold_10_pilon.938
TRINITY_GG_1114_c211_g1	Dcor_evm.model.ctg12_len_6330523.879	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.939	Dcor_evm.model.hic_scaffold_10_pilon.939
TRINITY_GG_1114_c210_g1	Dcor_evm.model.ctg12_len_6330523.867	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.951	Dcor_evm.model.hic_scaffold_10_pilon.951
TRINITY_GG_1114_c210_g1	Dcor_evm.model.ctg12_len_6330523.867	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.951	Dcor_evm.model.hic_scaffold_10_pilon.951
TRINITY_GG_514_c611_g1	Dcor_evm.model.ctg12_len_6330523.866	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.952	Dcor_evm.model.hic_scaffold_10_pilon.952
TRINITY_GG_514_c611_g1	Dcor_evm.model.ctg12_len_6330523.866	GEP9	Dcor_evm.model.hic_scaffold_10_pilon.952	Dcor_evm.model.hic_scaffold_10_pilon.952
TRINITY_GG_514_c596_g1	Dcor_evm.model.ctg12_len_6330523.861	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.957	Dcor_evm.model.hic_scaffold_10_pilon.957
TRINITY_GG_514_c92_g1	Dcor_evm.model.ctg12_len_6330523.847	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.966	NA
TRINITY_GG_1114_c853_g1	Dcor_evm.model.ctg12_len_6330523.833	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.982	NA
TRINITY_GG_1114_c246_g1	Dcor_evm.model.ctg12_len_6330523.831	GEP17	Dcor_evm.model.hic_scaffold_10_pilon.984	Dcor_evm.model.hic_scaffold_10_pilon.984
TRINITY_GG_1297_c170_g1	Dcor_evm.model.scaffold22_size1709097.68	GEP9	Dcor_evm.model.hic_scaffold_11_pilon.1	Dcor_evm.model.hic_scaffold_11_pilon.1
TRINITY_GG_1297_c116_g1	Dcor_evm.model.scaffold22_size1709097.18	GEP17	Dcor_evm.model.hic_scaffold_12_pilon.18	NA
TRINITY_GG_1297_c3_g1	Dcor_evm.model.scaffold22_size1709097.31	GEP17	Dcor_evm.model.hic_scaffold_12_pilon.31	Dcor_evm.model.hic_scaffold_12_pilon.31
TRINITY_GG_1297_c54_g1	Dcor_evm.model.scaffold22_size1709097.37	GEP17	Dcor_evm.model.hic_scaffold_12_pilon.36	Dcor_evm.model.hic_scaffold_12_pilon.36
TRINITY_GG_1220_c117_g1	Dcor_evm.model.ctg1_len_6253557.302	GEP9	Dcor_evm.model.hic_scaffold_13_pilon.105	Dcor_evm.model.hic_scaffold_13_pilon.105
TRINITY_GG_1220_c355_g1	Dcor_evm.model.ctg1_len_6253557.303	GEP9	Dcor_evm.model.hic_scaffold_13_pilon.106	NA
TRINITY_GG_1220_c112_g1	Dcor_evm.model.ctg1_len_6253557.347	GEP17	Dcor_evm.model.hic_scaffold_13_pilon.149	NA
TRINITY_GG_1220_c1290_g1	Dcor_evm.model.ctg1_len_6253557.243	GEP9	Dcor_evm.model.hic_scaffold_13_pilon.44	Dcor_evm.model.hic_scaffold_13_pilon.44
TRINITY_GG_1220_c148_g1	Dcor_evm.model.ctg1_len_6253557.278	GEP9	Dcor_evm.model.hic_scaffold_13_pilon.79	Dcor_evm.model.hic_scaffold_13_pilon.79
TRINITY_GG_1220_c20_g1	Dcor_evm.model.ctg1_len_6253557.278	GEP17	Dcor_evm.model.hic_scaffold_13_pilon.79	Dcor_evm.model.hic_scaffold_13_pilon.79
TRINITY_GG_1220_c176_g1	Dcor_evm.model.ctg1_len_6253557.286	GEP17	Dcor_evm.model.hic_scaffold_13_pilon.87	Dcor_evm.model.hic_scaffold_13_pilon.87
TRINITY_GG_1220_c60_g1	Dcor_evm.model.ctg1_len_6253557.294	GEP17	Dcor_evm.model.hic_scaffold_13_pilon.97	NA
TRINITY_GG_804_c121_g1	Dcor_evm.model.ctg25_len_963869.102	GEP17	Dcor_evm.model.hic_scaffold_14_pilon.104	NA
TRINITY_GG_804_c45_g1	Dcor_evm.model.ctg25_len_963869.57	GEP9	Dcor_evm.model.hic_scaffold_14_pilon.56	NA
TRINITY_GG_442_c434_g1	Dcor_evm.model.ctg29_len_829942.252	GEP17	Dcor_evm.model.hic_scaffold_15_pilon.101	Dcor_evm.model.hic_scaffold_15_pilon.101
TRINITY_GG_442_c420_g1	Dcor_evm.model.ctg29_len_829942.188	GEP17	Dcor_evm.model.hic_scaffold_15_pilon.46	Dcor_evm.model.hic_scaffold_15_pilon.46
TRINITY_GG_442_c317_g1	Dcor_evm.model.ctg29_len_829942.211	GEP9	Dcor_evm.model.hic_scaffold_15_pilon.62	NA
TRINITY_GG_442_c137_g1	Dcor_evm.model.ctg29_len_829942.218	GEP17	Dcor_evm.model.hic_scaffold_15_pilon.68	Dcor_evm.model.hic_scaffold_15_pilon.68
TRINITY_GG_442_c19_g1	Dcor_evm.model.ctg29_len_829942.244	GEP17	Dcor_evm.model.hic_scaffold_15_pilon.93	NA
TRINITY_GG_589_c203_g1	Dcor_evm.model.ctg22_len_1181805.135	GEP9	Dcor_evm.model.hic_scaffold_16_pilon.105	Dcor_evm.model.hic_scaffold_16_pilon.105
TRINITY_GG_589_c66_g1	Dcor_evm.model.ctg22_len_1181805.159	GEP17	Dcor_evm.model.hic_scaffold_16_pilon.131	NA
TRINITY_GG_589_c66_g1	Dcor_evm.model.ctg22_len_1181805.159	GEP9	Dcor_evm.model.hic_scaffold_16_pilon.131	NA
TRINITY_GG_589_c165_g1	Dcor_evm.model.ctg22_len_1181805.178	GEP17	Dcor_evm.model.hic_scaffold_16_pilon.150	NA
TRINITY_GG_589_c24_g1	Dcor_evm.model.ctg22_len_1181805.207	GEP9	Dcor_evm.model.hic_scaffold_16_pilon.181	Dcor_evm.model.hic_scaffold_16_pilon.181
TRINITY_GG_589_c105_g1	Dcor_evm.model.ctg22_len_1181805.24	GEP9	Dcor_evm.model.hic_scaffold_16_pilon.3	NA
TRINITY_GG_589_c1_g1	Dcor_evm.model.ctg22_len_1181805.54	GEP17	Dcor_evm.model.hic_scaffold_16_pilon.33	Dcor_evm.model.hic_scaffold_16_pilon.33
TRINITY_GG_589_c153_g1	Dcor_evm.model.ctg22_len_1181805.59	GEP17	Dcor_evm.model.hic_scaffold_16_pilon.38	NA
TRINITY_GG_1034_c19_g1	Dcor_evm.model.ctg22_len_1181805.27	GEP9	Dcor_evm.model.hic_scaffold_16_pilon.6	Dcor_evm.model.hic_scaffold_16_pilon.6
TRINITY_GG_231_c0_g1	Dcor_evm.model.scaffold681_size83270.14	GEP17	Dcor_evm.model.hic_scaffold_17_pilon.13	NA
TRINITY_GG_316_c0_g1	Dcor_evm.model.scaffold251_size31753.3	GEP9	Dcor_evm.model.hic_scaffold_19_pilon.3	Dcor_evm.model.hic_scaffold_19_pilon.3
TRINITY_GG_365_c44_g1	Dcor_evm.model.ctg24_len_2556950.84	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.109	Dcor_evm.model.hic_scaffold_2_pilon.109
TRINITY_GG_365_c69_g1	Dcor_evm.model.ctg24_len_2556950.91	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.116	NA
TRINITY_GG_601_c6_g1	Dcor_evm.model.ctg24_len_2556950.92	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.117	Dcor_evm.model.hic_scaffold_2_pilon.117
TRINITY_GG_365_c83_g1	Dcor_evm.model.ctg24_len_2556950.131	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.157	Dcor_evm.model.hic_scaffold_2_pilon.157
TRINITY_GG_365_c38_g1	Dcor_evm.model.ctg24_len_2556950.133	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.160	Dcor_evm.model.hic_scaffold_2_pilon.160
TRINITY_GG_365_c38_g1	Dcor_evm.model.ctg24_len_2556950.133	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.160	Dcor_evm.model.hic_scaffold_2_pilon.160
TRINITY_GG_365_c481_g1	Dcor_evm.model.ctg24_len_2556950.148	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.175	Dcor_evm.model.hic_scaffold_2_pilon.175
TRINITY_GG_365_c54_g1	Dcor_evm.model.ctg24_len_2556950.172	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.199	Dcor_evm.model.hic_scaffold_2_pilon.199
TRINITY_GG_263_c0_g1	Dcor_evm.model.ctg24_len_2556950.174	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.202	Dcor_evm.model.hic_scaffold_2_pilon.202
TRINITY_GG_365_c59_g1	Dcor_evm.model.ctg24_len_2556950.378	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.294	Dcor_evm.model.hic_scaffold_2_pilon.294
TRINITY_GG_365_c47_g1	Dcor_evm.model.ctg24_len_2556950.366	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.306	NA
TRINITY_GG_365_c116_g1	Dcor_evm.model.ctg24_len_2556950.319	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.351	Dcor_evm.model.hic_scaffold_2_pilon.351
TRINITY_GG_365_c942_g1	Dcor_evm.model.ctg24_len_2556950.310	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.360	Dcor_evm.model.hic_scaffold_2_pilon.360
